;time_plan;line;dest;delay;request;rideID
0;2022-10-31T21:15:00+01:00;RE7;Dessau, Hbf;9.0;2022-10-31 21:24:46;1153
1;2022-10-31T21:23:00+01:00;147;U Märkisches Museum via S+U Friedrichstr.;2.0;2022-10-31 21:25:12;15754
2;2022-10-31T21:25:00+01:00;RE2;Holthusen, Bhf;4.0;2022-10-31 21:25:12;63991
3;2022-10-31T21:27:00+01:00;S7;S Potsdam Hauptbahnhof;0.0;2022-10-31 21:25:12;20790
4;2022-10-31T21:27:00+01:00;245;U Turmstr.;0.0;2022-10-31 21:25:12;10109
5;2022-10-31T21:27:00+01:00;M10;S+U Warschauer Str.;0.0;2022-10-31 21:25:12;1775
10;2022-10-31T21:28:00+01:00;ICE 699;Ulm Hbf;3.0;2022-10-31 21:25:12;699
8;2022-10-31T21:28:00+01:00;U5;Hönow;0.0;2022-10-31 21:25:12;12925
9;2022-10-31T21:28:00+01:00;FEX;Flughafen BER - Terminal 1-2;0.0;2022-10-31 21:25:12;299
6;2022-10-31T21:28:00+01:00;S7;S Ahrensfelde;0.0;2022-10-31 21:25:12;20989
7;2022-10-31T21:28:00+01:00;M5;Hohenschönhausen, Zingster Str.;0.0;2022-10-31 21:25:12;3267
11;2022-10-31T21:30:00+01:00;M10;Moabit, Lüneburger Str.;2.0;2022-10-31 21:25:12;1934
12;2022-10-31T21:30:00+01:00;245;Mitte, Robert-Koch-Platz;0.0;2022-10-31 21:25:12;10466
13;2022-10-31T21:30:00+01:00;M41;Sonnenallee/Baumschulenstr.;0.0;2022-10-31 21:25:12;27178
14;2022-10-31T21:35:00+01:00;RE2;Cottbus, Hbf;27.0;2022-10-31 22:01:40;63992
15;2022-10-31T21:36:00+01:00;120;S+U Wittenau -> Bus 220;0.0;2022-10-31 21:36:59;3145
16;2022-10-31T21:36:00+01:00;M8;Moabit, Lüneburger Str.;1.0;2022-10-31 21:36:59;3601
20;2022-10-31T21:37:00+01:00;123;Saatwinkler Damm/Mäckeritzwiesen;0.0;2022-10-31 21:36:59;9726
19;2022-10-31T21:37:00+01:00;S7;S Westkreuz;0.0;2022-10-31 21:36:59;21262
21;2022-10-31T21:37:00+01:00;245;S+U Zoologischer Garten;0.0;2022-10-31 21:36:59;10310
17;2022-10-31T21:37:00+01:00;M10;S+U Warschauer Str.;0.0;2022-10-31 21:36:59;1775
18;2022-10-31T21:37:00+01:00;RB14;Nauen, Bhf;0.0;2022-10-31 21:36:59;507
22;2022-10-31T21:38:00+01:00;U5;Hönow;0.0;2022-10-31 21:38:09;12926
23;2022-10-31T21:38:00+01:00;S7;S Ahrensfelde;1.0;2022-10-31 21:38:09;20373
24;2022-10-31T21:38:00+01:00;ICE 502;Hamburg-Altona;0.0;2022-10-31 21:38:09;502
25;2022-10-31T21:40:00+01:00;245;Mitte, Robert-Koch-Platz;0.0;2022-10-31 21:38:09;10409
26;2022-10-31T21:40:00+01:00;M41;Sonnenallee/Baumschulenstr.;0.0;2022-10-31 21:38:09;27178
27;2022-10-31T21:40:00+01:00;M10;Moabit, Lüneburger Str.;1.0;2022-10-31 21:38:09;1920
28;2022-10-31T21:41:00+01:00;S5;S Strausberg, in Mahlsdorf bitte umsteigen;0.0;2022-10-31 21:38:09;19048
29;2022-10-31T21:41:00+01:00;RE1;Genthin, Bhf;0.0;2022-10-31 21:38:09;878
33;2022-10-31T21:42:00+01:00;S9;S Spandau;0.0;2022-10-31 21:38:09;24389
32;2022-10-31T21:42:00+01:00;142;S Ostbahnhof via U Rosenthaler Platz;0.0;2022-10-31 21:38:09;15578
31;2022-10-31T21:42:00+01:00;M85;S Lichterfelde Süd via Hindenburgdamm;0.0;2022-10-31 21:38:09;29372
30;2022-10-31T21:42:00+01:00;M5;Moabit, Lüneburger Str.;3.0;2022-10-31 21:38:09;3205
34;2022-10-31T21:43:00+01:00;RE5;Neubrandenburg, Bhf;7.0;2022-10-31 21:48:29;469
35;2022-10-31T21:43:00+01:00;147;U Märkisches Museum via S+U Friedrichstr.;2.0;2022-10-31 21:45:28;15754
36;2022-10-31T21:43:00+01:00;S9;Flughafen BER - Terminal 1-2;2.0;2022-10-31 21:45:28;23886
37;2022-10-31T21:46:00+01:00;RE7;Wünsdorf-Waldstadt, Bhf;0.0;2022-10-31 21:45:28;1063
41;2022-10-31T21:47:00+01:00;RB10;S Südkreuz;2.0;2022-10-31 21:48:29;380
38;2022-10-31T21:47:00+01:00;245;U Turmstr.;0.0;2022-10-31 21:45:28;10110
39;2022-10-31T21:47:00+01:00;M10;S+U Warschauer Str.;0.0;2022-10-31 21:45:28;1775
