;time_plan;line;dest;delay;request;rideID
0;2022-10-27T20:46:00+02:00;X76;U Alt-Mariendorf;1.0;2022-10-27 20:46:18;33076
1;2022-10-27T20:47:00+02:00;179;U Alt-Mariendorf;-1.0;2022-10-27 20:46:18;17930
2;2022-10-27T20:47:00+02:00;M76;U Walther-Schreiber-Platz;3.0;2022-10-27 20:46:18;28854
3;2022-10-27T20:57:00+02:00;M76;U Walther-Schreiber-Platz;0.0;2022-10-27 20:56:19;28854
4;2022-10-27T21:00:00+02:00;X71;U Alt-Mariendorf;3.0;2022-10-27 20:56:19;35268
5;2022-10-27T21:06:00+02:00;X76;U Alt-Mariendorf;0.0;2022-10-27 20:56:19;33073
6;2022-10-27T21:07:00+02:00;179;U Alt-Mariendorf;0.0;2022-10-27 20:56:19;17930
7;2022-10-27T21:08:00+02:00;M76;U Alt-Mariendorf;0.0;2022-10-27 20:56:19;28941
8;2022-10-27T21:58:00+02:00;M76;U Walther-Schreiber-Platz;2.0;2022-10-27 22:00:17;28864
9;2022-10-27T22:00:00+02:00;X71;U Alt-Mariendorf;1.0;2022-10-27 22:00:17;35268
10;2022-10-27T22:06:00+02:00;X76;U Alt-Mariendorf;-1.0;2022-10-27 22:04:04;33078
11;2022-10-27T22:07:00+02:00;179;U Alt-Mariendorf;-1.0;2022-10-27 22:07:27;17930
12;2022-10-27T22:18:00+02:00;M76;U Walther-Schreiber-Platz;1.0;2022-10-27 22:12:41;28864
13;2022-10-27T22:20:00+02:00;X71;U Alt-Mariendorf;-1.0;2022-10-27 22:12:41;35268
14;2022-10-27T22:26:00+02:00;X76;U Alt-Mariendorf;0.0;2022-10-27 22:12:41;33117
15;2022-10-27T22:27:00+02:00;179;U Alt-Mariendorf;0.0;2022-10-27 22:12:41;17930
16;2022-10-27T22:58:00+02:00;M76;U Walther-Schreiber-Platz;0.0;2022-10-27 22:55:05;28864
17;2022-10-27T23:00:00+02:00;X71;U Alt-Mariendorf;1.0;2022-10-27 22:55:05;35268
18;2022-10-27T23:06:00+02:00;X76;U Alt-Mariendorf;-1.0;2022-10-27 23:04:02;33117
19;2022-10-27T23:07:00+02:00;179;U Alt-Mariendorf;0.0;2022-10-27 23:07:02;17930
20;2022-10-27T23:18:00+02:00;M76;U Walther-Schreiber-Platz;1.0;2022-10-27 23:19:05;28864
21;2022-10-27T23:20:00+02:00;X71;U Alt-Mariendorf;0.0;2022-10-27 23:19:05;35261
26;2022-10-27T23:26:00+02:00;X76;U Alt-Mariendorf;0.0;2022-10-27 23:25:06;33117
27;2022-10-27T23:27:00+02:00;179;U Alt-Mariendorf;-1.0;2022-10-27 23:25:06;17930
28;2022-10-27T23:38:00+02:00;M76;U Walther-Schreiber-Platz;0.0;2022-10-27 23:25:06;28864
29;2022-10-27T23:40:00+02:00;X71;U Alt-Mariendorf;-2.0;2022-10-27 23:25:06;35261
